,Pc_name,no,type,state,candidate_name,party,electors,votes,Turnout%,margin,margin%,year
83,Bikramganj,93,GEN,Bihar [1947 - 1999],Ram Subhag Singh,Indian National Congress,423247,235421,55.6,10664,4.5,1962
84,Bilaspur,161,GEN,Madhya Pradesh [1947 - 1999],Satya Prakash,Independent,439048,162780,37.1,2171,1.3,1962
85,Bilhaur,425,GEN,Uttar Pradesh [1947 - 1999],Brij Behari Mehrotra,Indian National Congress,447601,228694,51.1,5866,2.6,1962
86,Birbhum,481,SC,West Bengal,Sisir Kumar Saha,Indian National Congress,472551,180916,38.3,32404,17.9,1962
87,Bisauli,368,GEN,Uttar Pradesh [1947 - 1999],Ansar Harvani,Indian National Congress,395128,198322,50.2,17163,8.7,1962
88,Bolangir,302,SC,Orissa,Mahanand Hrushikesh,Ganatantra Parishad,420780,92662,22.0,18019,19.4,1962
89,Bombay City Central North,228,SC,Maharashtra,Narayan Sadoba Kajrolkar,Indian National Congress,505136,317126,62.8,54144,17.1,1962
90,Bombay City Central South,227,GEN,Maharashtra,Vithal Balkrishna Gandhi,Indian National Congress,504610,309456,61.3,38578,12.5,1962
91,Bombay City North,229,GEN,Maharashtra,V. K. Krishna Menon,Indian National Congress,764016,483190,63.2,145358,30.1,1962
92,Bombay City South,226,GEN,Maharashtra,Sadashiv Kanoji Patil,Indian National Congress,423466,247339,58.4,100627,40.7,1962
93,Broach,127,GEN,Gujarat,Chhotubhai Makanbhai Patel,Indian National Congress,429499,293564,68.4,28037,9.6,1962
94,Budaun,369,GEN,Uttar Pradesh [1947 - 1999],Omkar Singh,Jan Sangh,404385,223283,55.2,16785,7.5,1962
95,Bulandsahar,438,GEN,Uttar Pradesh [1947 - 1999],Surendra Pal Singh,Indian National Congress,429674,257956,60.0,16954,6.6,1962
96,Buldana,252,GEN,Maharashtra,Shivaram Rango Rane,Indian National Congress,428466,301310,70.3,82179,27.3,1962
97,Bulsar,130,ST,Gujarat,Nanubhai Nichhabhai Patel,Indian National Congress,471481,304863,64.7,3659,1.2,1962
98,Burdwan,479,GEN,West Bengal,Gurugobinda Basu,Indian National Congress,534273,287685,53.9,32470,11.3,1962
99,Buxar,92,GEN,Bihar [1947 - 1999],Anant Prasad Sharma,Indian National Congress,453468,234087,51.6,5516,2.4,1962
100,Cachar,44,GEN,Assam,Jyotsna Chanda,Indian National Congress,383045,201609,52.6,16440,8.2,1962
101,Calcutta Central,463,GEN,West Bengal,Hirendra Nath Mukherjee,Communist Party Of India,403254,269526,66.8,43690,16.2,1962
102,Calcutta East,462,GEN,West Bengal,Ranendra Nath Sen,Communist Party Of India,471011,320419,68.0,43467,13.6,1962
103,Calcutta North West,464,GEN,West Bengal,Asoke Kumar Sen,Indian National Congress,415122,268078,64.6,33378,12.5,1962
104,Calcutta South West,461,GEN,West Bengal,Indrajit Gupta,Communist Party Of India,432966,292873,67.6,10990,3.8,1962
105,Chail,417,SC,Uttar Pradesh [1947 - 1999],Masuriya Din,Indian National Congress,415664,164522,39.6,33879,20.6,1962
106,Chamarajanagar,294,SC,Mysore,S. M. Siddaiah,Indian National Congress,414982,256966,61.9,47398,18.4,1962
107,Chamba,487,GEN,Himachal Pradesh,Chattar Singh,Indian National Congress,181428,52769,29.1,21875,41.5,1962
108,Chanda,260,GEN,Maharashtra,Lal Shyamshah Lal Bhagwanshah,Independent,424370,278409,65.6,42911,15.4,1962
109,Chandauli,412,GEN,Uttar Pradesh [1947 - 1999],Bal Krishna,Indian National Congress,422338,241171,57.1,1785,0.7,1962
110,Chandni Chowk,483,GEN,Delhi,Sham Nath,Indian National Congress,201891,144048,71.4,28948,20.1,1962
111,Chapra,61,GEN,Bihar [1947 - 1999],Ramsekhar Prasad Singh,Indian National Congress,459344,228117,49.7,21204,9.3,1962
112,Chatra,99,GEN,Bihar [1947 - 1999],Vijaya Raje,Swatantra,379753,148344,39.1,35304,23.8,1962
113,Chatrapur,298,GEN,Orissa,Sarma Ananta Tripathy,Indian National Congress,413107,82677,20.0,25215,30.5,1962
114,Cheepurupalli,3,GEN,Andhra Pradesh,Ravu Venkata Gopalakrishna Ranga Rao,Indian National Congress,410167,270080,65.9,24964,9.2,1962
115,Chhindwara,174,GEN,Madhya Pradesh [1947 - 1999],Bhikulal Lachhmichand,Indian National Congress,462730,179836,38.9,29715,16.5,1962
116,Chidambaram,195,GEN,Madras,R. Kangagosabai,Indian National Congress,457267,327065,71.5,4060,1.2,1962
117,Chikballapur,289,GEN,Mysore,K. Changalaraya Reddy,Indian National Congress,450873,269677,59.8,51515,19.1,1962
118,Chikodi,274,GEN,Mysore,Vasantrao Lakhagounda Patil,Indian National Congress,396721,254055,64.0,86776,34.2,1962
119,Chingleput,188,GEN,Madras,O. V. Alagesan,Indian National Congress,429553,332465,77.4,19878,6.0,1962
120,Chirayinkil,147,GEN,Kerala,M. K. Kumaran,Communist Party Of India,437189,311762,71.3,33219,10.7,1962
121,Chitradurga,282,GEN,Mysore,S. Veerabasappa,Indian National Congress,502170,330704,65.9,44849,13.6,1962
122,Chittor,22,GEN,Andhra Pradesh,Madabhusi Ananthasayanam Ayyangar,Indian National Congress,437788,296142,67.7,23964,8.1,1962
123,Chittorgarh,350,GEN,Rajasthan,Manikyalal,Indian National Congress,423187,179397,42.4,20022,11.2,1962
124,Coimbatore,205,GEN,Madras,P. R. Ramakrishnan,Indian National Congress,509869,398104,78.1,42561,10.7,1962
125,Contai,471,GEN,West Bengal,Basanta Kumar Das,Indian National Congress,513853,332199,64.7,85408,25.7,1962
126,Cooch Behar,446,SC,West Bengal,Debendra Nath Karjee,Forward Block,533835,259577,48.6,31760,12.2,1962
127,Cuddalore,194,GEN,Madras,T. Ramabadra Naidu,Dravida Munetra Kazhagam,479031,324795,67.8,35387,10.9,1962
128,Cuddapah,24,GEN,Andhra Pradesh,Yeddula Eswara Reddy,Communist Party Of India,497180,371945,74.8,20867,5.6,1962
129,Cuttack,310,GEN,Orissa,Nityanand Kanungo,Indian National Congress,484807,162723,33.6,23953,14.7,1962
130,Dahod,125,SC,Gujarat,Hirabhai Kunverbhai Baria,Swatantra,443761,250518,56.5,4413,1.8,1962
131,Daimond Harbour,460,GEN,West Bengal,Sudhanshu Bhushan Das,Indian National Congress,582113,328720,56.5,19140,5.8,1962
132,Damoh,171,SC,Madhya Pradesh [1947 - 1999],Sahodra Bai,Indian National Congress,419223,196144,46.8,27975,14.3,1962
133,Darbhanga,72,GEN,Bihar [1947 - 1999],Shree Narayan Das,Indian National Congress,487848,201729,41.4,60337,29.9,1962
134,Darjeeling,448,GEN,West Bengal,T. Manaen,Indian National Congress,421110,197796,47.0,8427,4.3,1962
135,Darrang,51,GEN,Assam,Bijoy Chandra Bhagabati,Indian National Congress,378754,212851,56.2,95796,45.0,1962
136,Dausa,341,GEN,Rajasthan,Prithvi Raj,Swatantra,418962,250386,59.8,89696,35.8,1962
137,Dehra Dun,445,GEN,Uttar Pradesh [1947 - 1999],Mahavir Tyagi,Indian National Congress,404429,247623,61.2,74392,30.0,1962
138,Delhi Sadar,484,GEN,Delhi,Shiv Charan Gupta,Indian National Congress,234520,167274,71.3,23534,14.1,1962
139,Deoria,401,GEN,Uttar Pradesh [1947 - 1999],Vaishwanath,Indian National Congress,415334,208199,50.1,19241,9.2,1962
140,Dewas,180,SC,Madhya Pradesh [1947 - 1999],Hukumchand,Jan Sangh,438964,240615,54.8,7149,3.0,1962
141,Dhanbad,101,GEN,Bihar [1947 - 1999],P. R. Chakravarti,Indian National Congress,451555,207276,45.9,24206,11.7,1962
142,Dharwar North,278,GEN,Mysore,Sarojini Bindurao Mahishi,Indian National Congress,439047,275322,62.7,153550,55.8,1962
143,Dharwar South,277,GEN,Mysore,Fakruddin Husseinsab Mohasin,Indian National Congress,419192,281286,67.1,75240,26.7,1962
144,Dhenkanal,306,GEN,Orissa,Baishnab Charan Patnaik,Indian National Congress,439926,135057,30.7,52288,38.7,1962
145,Dhubri,47,GEN,Assam,Mau Ghysuddin Ahammad,Indian National Congress,391360,219296,56.0,27516,12.5,1962
146,Dhulia,250,GEN,Maharashtra,Chudaman Ananda Ravandale,Indian National Congress,467691,282407,60.4,94855,33.6,1962
147,Dibrugarh,55,GEN,Assam,Jogendra Nath Hazarika,Indian National Congress,390564,181805,46.6,56830,31.3,1962
148,Dindigul,210,GEN,Madras,T. S. Soundaram Ramachandram,Indian National Congress,461145,331580,71.9,53653,16.2,1962
149,Domariaganj,395,GEN,Uttar Pradesh [1947 - 1999],Kripa Shanker,Indian National Congress,416674,217578,52.2,1579,0.7,1962
150,Dumka,81,ST,Bihar [1947 - 1999],Satya Chandra Besra,Indian National Congress,399218,140848,35.3,1085,0.8,1962
151,Durg,167,GEN,Madhya Pradesh [1947 - 1999],Mohanlal Bakliwal,Indian National Congress,519964,225832,43.4,28868,12.8,1962
152,Eluru,11,GEN,Andhra Pradesh,Viramachaneni Vimaladevi,Communist Party Of India,470098,343907,73.2,1469,0.4,1962
153,Ernakulam,140,GEN,Kerala,A. M. Thomas,Indian National Congress,455280,363493,79.8,23399,6.4,1962
154,Erode,202,GEN,Madras,Paramasiva Gounder,Indian National Congress,478370,352663,73.7,39178,11.1,1962
155,Etah,430,GEN,Uttar Pradesh [1947 - 1999],Bishan Chandra Seth,Akhil Bharatiya Hindu Mahasabha,419948,237064,56.5,10614,4.5,1962
156,Etawah,426,GEN,Uttar Pradesh [1947 - 1999],Gopi Nath Dikshit,Indian National Congress,425674,246979,58.0,3139,1.3,1962
157,Faizabad,387,GEN,Uttar Pradesh [1947 - 1999],Brij Basi Lal,Indian National Congress,399568,198370,49.7,10852,5.5,1962
158,Farrukhabad,427,GEN,Uttar Pradesh [1947 - 1999],Mul Chand,Indian National Congress,475245,249045,52.4,14278,5.7,1962
159,Fatehpur,418,GEN,Uttar Pradesh [1947 - 1999],Gauri Shankar Alias Gauri Babu,Independent,435714,180138,41.3,29253,16.2,1962
160,Ferozepur,327,GEN,Punjab,Iqbal Singh,Indian National Congress,521386,332188,63.7,32152,9.7,1962
161,Firozabad,432,GEN,Uttar Pradesh [1947 - 1999],Shambhu Nath Chaturvedi,Indian National Congress,450593,227824,50.6,13239,5.8,1962
162,Gadwal,29,GEN,Andhra Pradesh,Janumpally Rameshwar Rao,Indian National Congress,447475,268559,60.0,15834,5.9,1962
163,Ganganagar,358,SC,Rajasthan,Panna Lal,Indian National Congress,574159,351807,61.3,59620,16.9,1962
164,Garhwal,361,GEN,Uttar Pradesh [1947 - 1999],Bhakta Darshan,Indian National Congress,391864,148825,38.0,33777,22.7,1962
165,Gauhati,49,GEN,Assam,Hem Borua,Praja Socialist Party,467175,280492,60.0,32062,11.4,1962
166,Gaya,98,GEN,Bihar [1947 - 1999],Brajeshwar Prasad,Indian National Congress,337429,168595,50.0,18798,11.1,1962
167,Gazipur,408,GEN,Uttar Pradesh [1947 - 1999],Viswanath Singh Gahmari,Indian National Congress,399020,219895,55.1,36863,16.8,1962
168,Ghatal,469,GEN,West Bengal,Sachindra Nath Choudhury,Indian National Congress,523928,341324,65.2,30838,9.0,1962
169,Ghatampur,423,SC,Uttar Pradesh [1947 - 1999],Tula Ram,Indian National Congress,442776,218833,49.4,21996,10.1,1962
170,Ghosi,405,GEN,Uttar Pradesh [1947 - 1999],Jai Bahadur,Communist Party Of India,433042,244629,56.5,8692,3.6,1962
171,Giridih,100,GEN,Bihar [1947 - 1999],Thakur Bateshwar Singh,Swatantra,374463,129147,34.5,3458,2.7,1962
172,Goalpara,48,ST,Assam,Dharani Dhor Basumotari,Indian National Congress,429220,229232,53.4,30434,13.3,1962
173,Godda,80,GEN,Bihar [1947 - 1999],Prabhudayal Himmatsingka,Indian National Congress,395448,193437,48.9,19585,10.1,1962
174,Gohichettipalayam,203,GEN,Madras,P. G. Karuthiruman,Indian National Congress,435401,298854,68.6,71435,23.9,1962
175,Gonda,393,GEN,Uttar Pradesh [1947 - 1999],Ram Ratan Gupta,Indian National Congress,437337,206220,47.2,498,0.2,1962
176,Gondia,259,SC,Maharashtra,Balkrishna Ramchandra Wasnik,Indian National Congress,462370,274773,59.4,10925,4.0,1962
177,Gopalganj,59,GEN,Bihar [1947 - 1999],Dwaika Nath Tiwari,Indian National Congress,422101,204989,48.6,38617,18.8,1962
178,Gorakhpur,398,GEN,Uttar Pradesh [1947 - 1999],Sinhasan Singh,Indian National Congress,413275,211551,51.2,3260,1.5,1962
179,Gudivada,12,GEN,Andhra Pradesh,Manganti Ankineedu,Indian National Congress,493266,388490,78.8,16734,4.3,1962
180,Gulbarga,271,GEN,Mysore,Mahadevappa Yeshwantappa,Indian National Congress,413239,184634,44.7,8073,4.4,1962
181,Guna,152,GEN,Madhya Pradesh [1947 - 1999],Ramsahai Shivprasad Pande,Indian National Congress,481461,225007,46.7,19726,8.8,1962
182,Guntur,16,GEN,Andhra Pradesh,Kotha Raghu Ramaiah,Indian National Congress,516008,368813,71.5,99942,27.1,1962
183,Gurdaspur,334,GEN,Punjab,Dewan Chand,Indian National Congress,454322,298900,65.8,56498,18.9,1962
184,Gurgaon,323,GEN,Punjab,Gajraj Singh,Indian National Congress,500008,319542,63.9,18418,5.8,1962
185,Gwalior,150,GEN,Madhya Pradesh [1947 - 1999],Vijaya Raje Scindia,Indian National Congress,431098,236915,55.0,148820,62.8,1962
186,Hajipur,64,GEN,Bihar [1947 - 1999],Rajeshwar Patel,Indian National Congress,421299,259738,61.7,21850,8.4,1962
187,Hamirpur,420,GEN,Uttar Pradesh [1947 - 1999],Mannoo Lal Dwivedi,Indian National Congress,408471,216075,52.9,27684,12.8,1962
188,Hapur,439,GEN,Uttar Pradesh [1947 - 1999],Kamla Chaudhry,Indian National Congress,435947,247270,56.7,28633,11.6,1962
189,Hardoi,376,SC,Uttar Pradesh [1947 - 1999],Kindar Lal,Indian National Congress,451711,194935,43.2,23310,12.0,1962
190,Hassan,286,GEN,Mysore,H. Siddananjappa,Indian National Congress,433487,241184,55.6,5815,2.4,1962
191,Hata,400,GEN,Uttar Pradesh [1947 - 1999],Kashi Nath Pandey,Indian National Congress,430300,224360,52.1,66305,29.6,1962
192,Hatkanangle,239,SC,Maharashtra,Krishnaji Laxman More,Indian National Congress,417516,270195,64.7,99683,36.9,1962
193,Hatras,435,SC,Uttar Pradesh [1947 - 1999],Joti Sarup,Republican Party,447606,254933,57.0,2649,1.0,1962
194,Hazari Bagh,102,GEN,Bihar [1947 - 1999],Basant Narain Singh,Swatantra,395311,127042,32.1,46611,36.7,1962
195,Hindaun,344,GEN,Rajasthan,Tika Ram,Indian National Congress,488123,274043,56.1,49105,17.9,1962
196,Hindupur,26,GEN,Andhra Pradesh,K.V. Ramakrishna Reddy,Indian National Congress,420888,260620,61.9,29042,11.1,1962
197,Hissar,325,GEN,Punjab,Mani Ram,Socialist,567814,356615,62.8,27233,7.6,1962
198,Hooghly,468,GEN,West Bengal,Provat Kar,Communist Party Of India,511620,323968,63.3,2643,0.8,1962
199,Hoshangabad,175,GEN,Madhya Pradesh [1947 - 1999],Hari Vishnu Kamath,Praja Socialist Party,385818,182882,47.4,18771,10.3,1962
